id,latitude,longitude,SiteName,StartLat,StartLong,EndLat,EndLong
GEO02_PZHTR115,51.91721,4.57779,Algeraweg-Provincialeweg,51.92499,4.40612,51.92261,4.41256
GEO02_PZHTR116,51.9116,4.64141,Provincialeweg-Algeraweg,,,,
GEO02_PZHTR27,52.224864,4.676625,Vriezekoop-Kruisweg,,,,
GEO02_PZHTR28,52.169868,4.66844,Kruisweg-Vriezekoop,51.92261,4.41256,51.92275,4.41718
GEO02_PZHTR29,52.166284,4.667193,Kruisweg-Eisenhouwerlaan-Alp,,,,
GEO02_PZHTR30,52.157244,4.664752,Eisenhouwerlaan-Alp-Kruisweg,51.92275,4.41718,51.92683,4.42791
GEO02_PZHTR31,52.154836,4.668611,Eisenhouwerlaan-Alp-Oostkanaalweg-Alph,,,,
GEO02_PZHTR38,52.044212,4.66033,Kerkweg-Oost-Reijerskoop-Boskoop,,,,
GEO02_PZHTR39,52.042816,4.659844,Kerkweg-Oost-Coenecooprotonde,51.92683,4.42791,51.92839,4.4317
GEO02_PZHTR40,52.024416,4.668375,Coenecooprotonde-Kerkweg-Oost,,,,
GEO02_KANTR04,51.956248,5.921597,N325 Pleijweg / Ingenieur Molsweg-N325/A325 Nijmegseweg,,,,
GEO02_KANTR04r,51.95942,5.89116,N325/A325 Nijmegseweg-N325 Pleijweg / Ingenieur Molsweg,,,,
GEO02_PZHTR95,52.04544,4.509757,Oostweg-Verlengde Australieweg,,,,
GEO02_PZHTR96,52.048736,4.544574,Verlengde Australieweg-Verlengde Australieweg/Maximaplein,,,,
GEO02_PZHTR97,52.038416,4.541393,zoetermeerselaan-Verlengde Australieweg,52.09284,5.17255,52.09139,5.15783
GEO02_Z_RWSTRN210,52.087536,4.733989,N458-Gouwseweg/aansluiting A12,,,,
GEO02_Z_RWSTRN208,52.110784,4.685691,Boskoopseweg-N458,52.09284,5.17255,52.09369,5.16428
GEO02_Z_RWSTRN277,52.384988,4.843263,aansluiting A10-Kimpoweg,,,,
GEO02_Z_RWSTRN279,52.384828,4.839379,Kimpoweg-Radarweg,,,,
GEO02_Z_RWSTRN026,51.738916,3.824891,Aansl. Scharredijk-Port Zeelande,,,,
GEO02_Z_RWSTIN001,51.807008,4.006506,Rotonde Stellendan,,,,
GEO02_Z_RWSTIN067,51.699132,4.289866,Schaapsweg,51.92839,4.4317,51.92919,4.43364
